MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House Age,Remodel Age,Was Remodeled
120,190810.50749559083,60.0,6820,3,178309.4876472824,177751.95866141733,3,324229.1960784314,183601.24612941642,180228.34979281767,192311.91416309014,178696.39527027027,8,5,1985,1985,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,155030.12570462233,0.0,4,3,226384.9992337165,4,3,0.0,0.0,368.0,0.0,1120.0,0.0,1488.0,181204.96805555557,3,0.0,186200.11090365946,1502,0,0,1502,1.0,0.0,1,1,1,1,4,4,182981.7087770841,0,0,203176.59119861032,1985.0,0.0,2.0,528.0,3,3,0.0,0,54,0,0,140,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,212000,25,25,0
60,190810.50749559083,47.0,53504,2,253924.525,225531.8722222222,2,324229.1960784314,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,8,5,2003,2003,226018.87385740402,179915.26421636617,235143.1935483871,154001.85185185185,210179.47781569965,603.0,5,3,226384.9992337165,4,3,0.0,0.0,1416.0,0.0,0.0,234.0,1650.0,181204.96805555557,5,0.0,186200.11090365946,1690,1589,0,3279,1.0,0.0,3,1,4,1,5,12,151640.08571428573,1,4,249693.30810810812,2003.0,0.0,3.0,841.0,3,3,0.0,503,36,0,0,210,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,538000,7,7,0
50,190810.50749559083,152.0,12134,3,143927.07894736843,177388.57623947616,2,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,137529.92356687898,8,7,1988,2005,170059.83362068966,179915.26421636617,145538.83054892602,146944.33753148615,155030.12570462233,0.0,4,3,180900.0,4,3,0.0,0.0,427.0,0.0,0.0,132.0,559.0,181204.96805555557,4,0.0,186200.11090365946,1080,672,0,1752,0.0,0.0,2,0,4,1,3,8,182981.7087770841,0,0,150473.41666666666,1988.0,0.0,2.0,492.0,3,3,0.0,325,12,0,0,0,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,164000,22,5,1
20,190810.50749559083,88.0,11394,4,178309.4876472824,177751.95866141733,3,324229.1960784314,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,9,2,2010,2010,226018.87385740402,179915.26421636617,217183.18323586744,217126.56354679802,261575.92276422764,350.0,4,3,226384.9992337165,5,3,0.0,0.0,1445.0,0.0,0.0,411.0,1856.0,181204.96805555557,5,0.0,186200.11090365946,1856,0,0,1856,1.0,0.0,1,1,1,1,5,8,182981.7087770841,1,5,203176.59119861032,2010.0,0.0,3.0,834.0,3,3,0.0,113,0,0,0,0,0,0.0,0,6,2010,277016.7923728814,274579.0123966942,394432,0,0,0
20,190810.50749559083,140.0,19138,4,178309.4876472824,177751.95866141733,3,190646.57575757575,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,4,5,1951,1951,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,3,3,148284.15353697748,3,3,0.0,0.0,120.0,0.0,0.0,744.0,864.0,181204.96805555557,5,0.0,186200.11090365946,864,0,0,864,0.0,0.0,1,0,2,1,3,4,182981.7087770841,0,0,132468.47186700767,1951.0,0.0,2.0,400.0,3,3,0.0,0,0,0,0,0,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,141000,59,59,0
20,190810.50749559083,85.0,13175,4,178309.4876472824,177388.57623947616,3,188406.90839694656,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,6,6,1978,1988,170059.83362068966,179915.26421636617,167988.3076923077,164015.44525547445,261575.92276422764,119.0,3,3,148284.15353697748,4,3,0.0,0.0,790.0,0.0,163.0,589.0,1542.0,181204.96805555557,3,0.0,186200.11090365946,2073,0,0,2073,1.0,0.0,2,0,3,1,3,7,151094.61538461538,2,3,203176.59119861032,1978.0,0.0,2.0,500.0,3,3,0.0,349,0,0,0,0,0,0.0,0,2,2010,173907.60378847673,175327.41417910447,210000,32,22,1
20,190810.50749559083,105.0,11751,3,178309.4876472824,177388.57623947616,3,188406.90839694656,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,6,6,1977,1977,226018.87385740402,179915.26421636617,167988.3076923077,164015.44525547445,210179.47781569965,480.0,3,3,148284.15353697748,4,3,0.0,0.0,705.0,0.0,0.0,1139.0,1844.0,181204.96805555557,5,0.0,186200.11090365946,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,182981.7087770841,1,3,203176.59119861032,1977.0,0.0,2.0,546.0,3,3,0.0,0,122,0,0,0,0,0.0,0,1,2010,132248.28735632185,175327.41417910447,190000,33,33,0
85,190810.50749559083,85.0,10625,4,178309.4876472824,177388.57623947616,3,188406.90839694656,183601.24612941642,180228.34979281767,184355.61983471076,143472.6626506024,7,6,1974,1974,170059.83362068966,179915.26421636617,167988.3076923077,164015.44525547445,210179.47781569965,81.0,3,3,148284.15353697748,4,3,0.0,0.0,885.0,0.0,168.0,0.0,1053.0,181204.96805555557,3,0.0,186200.11090365946,1173,0,0,1173,1.0,0.0,2,0,3,1,4,6,182981.7087770841,2,3,203176.59119861032,1974.0,0.0,2.0,528.0,3,3,0.0,0,120,0,0,0,0,0.0,0,1,2010,173907.60378847673,157488.58695652173,170000,36,36,0
60,218986.94964028776,72.5,7500,4,178309.4876472824,177388.57623947616,3,229707.32417582418,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,7,5,2000,2000,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,4,3,226384.9992337165,4,3,0.0,0.0,533.0,0.0,0.0,281.0,814.0,181204.96805555557,5,0.0,186200.11090365946,814,860,0,1674,1.0,0.0,2,1,3,1,4,7,182981.7087770841,0,0,203176.59119861032,2000.0,0.0,2.0,663.0,3,3,0.0,0,96,0,0,0,0,0.0,0,1,2010,173907.60378847673,175327.41417910447,216000,10,10,0
20,190810.50749559083,73.0,11241,3,178309.4876472824,225531.8722222222,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,6,7,1970,1970,170059.83362068966,179915.26421636617,145538.83054892602,146944.33753148615,210179.47781569965,180.0,3,3,148284.15353697748,3,3,0.0,0.0,578.0,0.0,0.0,426.0,1004.0,181204.96805555557,5,0.0,186200.11090365946,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,182981.7087770841,1,3,203176.59119861032,1970.0,0.0,2.0,480.0,3,3,0.0,0,0,0,0,0,0,0.0,700,3,2010,173907.60378847673,175327.41417910447,149000,40,40,0
20,190810.50749559083,73.0,12537,3,178309.4876472824,225531.8722222222,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,5,6,1971,2008,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,3,3,148284.15353697748,3,3,0.0,0.0,734.0,0.0,0.0,344.0,1078.0,181204.96805555557,5,0.0,186200.11090365946,1078,0,0,1078,1.0,0.0,1,1,3,1,3,6,182981.7087770841,1,2,203176.59119861032,1971.0,0.0,2.0,500.0,3,3,0.0,0,0,0,0,0,0,0.0,0,4,2010,173907.60378847673,175327.41417910447,149900,39,2,1
20,190810.50749559083,65.0,8450,4,178309.4876472824,177388.57623947616,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,5,6,1968,1968,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,155030.12570462233,0.0,3,3,148284.15353697748,3,3,0.0,0.0,775.0,0.0,0.0,281.0,1056.0,181204.96805555557,5,0.0,186200.11090365946,1056,0,0,1056,1.0,0.0,1,0,3,1,3,6,182981.7087770841,1,2,203176.59119861032,1968.0,0.0,1.0,304.0,3,3,0.0,0,85,184,0,0,0,0.0,0,7,2010,173907.60378847673,175327.41417910447,142000,42,42,0
20,190810.50749559083,70.0,8400,4,178309.4876472824,177751.95866141733,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,4,5,1970,1970,170059.83362068966,179915.26421636617,167988.3076923077,164015.44525547445,155030.12570462233,0.0,3,3,148284.15353697748,3,3,0.0,0.0,804.0,0.0,78.0,0.0,882.0,181204.96805555557,3,0.0,186200.11090365946,882,0,0,882,1.0,0.0,1,0,2,1,3,4,182981.7087770841,0,0,203176.59119861032,1970.0,0.0,2.0,525.0,3,3,0.0,240,0,0,0,0,0,0.0,0,4,2010,173907.60378847673,175327.41417910447,126000,40,40,0
20,190810.50749559083,70.0,10500,4,178309.4876472824,174122.89411764705,3,145097.34988713317,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,4,5,1971,1971,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,155030.12570462233,0.0,3,3,148284.15353697748,3,3,0.0,0.0,432.0,0.0,0.0,432.0,864.0,181204.96805555557,3,0.0,186200.11090365946,864,0,0,864,0.0,0.0,1,0,3,1,3,5,182981.7087770841,1,1,104949.25477707006,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,4,2010,180105.55555555556,175327.41417910447,115000,39,39,0
120,136419.77777777778,26.0,5858,3,178309.4876472824,174122.89411764705,3,145097.34988713317,183601.24612941642,180228.34979281767,192311.91416309014,178696.39527027027,7,5,1999,1999,170059.83362068966,179915.26421636617,153775.16,155553.29306487695,155030.12570462233,0.0,4,3,226384.9992337165,4,3,0.0,0.0,1051.0,0.0,0.0,354.0,1405.0,181204.96805555557,5,0.0,186200.11090365946,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,182981.7087770841,1,2,203176.59119861032,1999.0,0.0,2.0,511.0,3,3,0.0,203,68,0,0,0,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,184000,11,11,0
160,126781.39393939394,21.0,1680,4,178309.4876472824,177388.57623947616,3,105608.33333333333,183601.24612941642,180228.34979281767,135934.05940594058,205820.0909090909,6,5,1971,1971,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,210179.47781569965,504.0,3,3,148284.15353697748,3,3,0.0,0.0,156.0,0.0,0.0,327.0,483.0,181204.96805555557,3,0.0,186200.11090365946,483,504,0,987,0.0,0.0,1,1,2,1,3,5,182981.7087770841,0,0,132468.47186700767,1971.0,0.0,1.0,264.0,3,3,0.0,275,0,0,0,0,0,0.0,0,2,2010,132248.28735632185,175327.41417910447,96000,39,39,0
160,126781.39393939394,21.0,1680,4,178309.4876472824,177388.57623947616,3,105608.33333333333,183601.24612941642,180228.34979281767,135934.05940594058,205820.0909090909,5,5,1971,1971,170059.83362068966,179915.26421636617,159525.73015873015,160273.85925925925,210179.47781569965,492.0,3,3,148284.15353697748,3,3,0.0,0.0,300.0,0.0,0.0,225.0,525.0,181204.96805555557,3,0.0,186200.11090365946,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,182981.7087770841,0,0,132468.47186700767,1997.0,0.0,1.0,320.0,3,3,0.0,0,0,0,0,0,0,0.0,0,3,2010,173907.60378847673,175327.41417910447,105500,39,39,0
160,126781.39393939394,21.0,1680,4,178309.4876472824,177388.57623947616,3,105608.33333333333,183601.24612941642,180228.34979281767,135934.05940594058,205820.0909090909,6,5,1971,1971,170059.83362068966,179915.26421636617,159525.73015873015,223157.14285714287,210179.47781569965,381.0,3,3,148284.15353697748,3,3,0.0,0.0,0.0,0.0,0.0,525.0,525.0,181204.96805555557,3,0.0,186200.11090365946,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,182981.7087770841,0,0,132468.47186700767,1971.0,0.0,1.0,264.0,3,3,0.0,0,0,0,0,0,0,0.0,0,3,2010,173907.60378847673,157488.58695652173,88000,39,39,0
120,190810.50749559083,53.0,4043,4,178309.4876472824,177388.57623947616,3,140710.86956521738,183601.24612941642,180228.34979281767,192311.91416309014,178696.39527027027,6,5,1977,1977,170059.83362068966,179915.26421636617,167988.3076923077,164015.44525547445,155030.12570462233,0.0,3,3,148284.15353697748,4,3,0.0,0.0,360.0,0.0,0.0,709.0,1069.0,181204.96805555557,3,0.0,186200.11090365946,1069,0,0,1069,0.0,0.0,2,0,2,1,3,4,182981.7087770841,1,2,203176.59119861032,1977.0,0.0,2.0,440.0,3,3,0.0,0,55,0,0,165,0,0.0,0,7,2010,173907.60378847673,175327.41417910447,127500,33,33,0
160,190810.50749559083,24.0,2280,4,178309.4876472824,174122.89411764705,3,140710.86956521738,183601.24612941642,180228.34979281767,135934.05940594058,205820.0909090909,6,6,1975,1975,170059.83362068966,179915.26421636617,167988.3076923077,137536.36363636365,155030.12570462233,0.0,3,3,148284.15353697748,3,3,0.0,0.0,514.0,0.0,0.0,341.0,855.0,181204.96805555557,3,0.0,186200.11090365946,855,601,0,1456,0.0,0.0,2,1,3,1,4,6,182981.7087770841,1,3,203176.59119861032,1975.0,0.0,2.0,440.0,3,3,0.0,173,0,0,0,0,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,149900,35,35,0
120,190810.50749559083,24.0,2280,4,178309.4876472824,174122.89411764705,3,140710.86956521738,183601.24612941642,180228.34979281767,135934.05940594058,178696.39527027027,7,6,1975,1975,170059.83362068966,179915.26421636617,167988.3076923077,137536.36363636365,155030.12570462233,0.0,3,3,148284.15353697748,4,3,0.0,0.0,0.0,0.0,0.0,836.0,836.0,181204.96805555557,5,0.0,186200.11090365946,836,0,0,836,0.0,0.0,1,0,2,1,3,4,182981.7087770841,0,0,203176.59119861032,1975.0,0.0,1.0,308.0,3,3,0.0,0,30,0,0,0,0,0.0,0,6,2010,173907.60378847673,175327.41417910447,120000,35,35,0
160,190810.50749559083,24.0,2280,4,178309.4876472824,177388.57623947616,3,140710.86956521738,183601.24612941642,180228.34979281767,135934.05940594058,205820.0909090909,6,5,1978,1978,170059.83362068966,179915.26421636617,167988.3076923077,137536.36363636365,155030.12570462233,0.0,3,3,148284.15353697748,4,3,0.0,0.0,311.0,0.0,0.0,544.0,855.0,181204.96805555557,2,0.0,186200.11090365946,855,601,0,1456,0.0,0.0,2,1,3,1,3,7,182981.7087770841,1,3,203176.59119861032,1978.0,0.0,2.0,440.0,3,3,0.0,26,0,0,0,0,0,0.0,0,7,2010,173907.60378847673,175327.41417910447,146000,32,32,0
60,190810.50749559083,102.0,12858,3,178309.4876472824,177388.57623947616,3,322018.265060241,183601.24612941642,180228.34979281767,184355.61983471076,205820.0909090909,9,5,2009,2010,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,261575.92276422764,162.0,5,3,226384.9992337165,5,3,0.0,0.0,0.0,0.0,0.0,1590.0,1590.0,181204.96805555557,5,0.0,186200.11090365946,1627,707,0,2334,0.0,0.0,2,1,3,1,5,10,182981.7087770841,1,4,203176.59119861032,2009.0,0.0,3.0,751.0,3,3,0.0,144,133,0,0,0,0,0.0,0,1,2010,277016.7923728814,274579.0123966942,376162,1,0,1
20,190810.50749559083,98.0,11478,4,178309.4876472824,177388.57623947616,3,322018.265060241,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,8,5,2007,2008,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,261575.92276422764,200.0,4,3,226384.9992337165,5,3,0.0,0.0,1218.0,0.0,0.0,486.0,1704.0,181204.96805555557,5,0.0,186200.11090365946,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,182981.7087770841,1,4,203176.59119861032,2008.0,0.0,3.0,772.0,3,3,0.0,0,50,0,0,0,0,0.0,0,5,2010,173907.60378847673,175327.41417910447,306000,3,2,1
20,190810.50749559083,83.0,10159,3,178309.4876472824,177388.57623947616,3,322018.265060241,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,9,5,2009,2010,226018.87385740402,179915.26421636617,217183.18323586744,217126.56354679802,261575.92276422764,450.0,5,3,226384.9992337165,5,3,0.0,0.0,1646.0,0.0,0.0,284.0,1930.0,181204.96805555557,5,0.0,186200.11090365946,1940,0,0,1940,1.0,0.0,2,1,3,1,5,8,182981.7087770841,1,4,203176.59119861032,2010.0,0.0,3.0,606.0,3,3,0.0,168,95,0,0,0,0,0.0,0,4,2010,277016.7923728814,274579.0123966942,395192,1,0,1
20,190810.50749559083,94.0,12883,3,178309.4876472824,177751.95866141733,3,322018.265060241,183601.24612941642,180228.34979281767,184355.61983471076,178696.39527027027,8,5,2009,2010,170059.83362068966,179915.26421636617,217183.18323586744,217126.56354679802,261575.92276422764,256.0,4,3,226384.9992337165,4,3,0.0,0.0,0.0,0.0,0.0,1544.0,1544.0,181204.96805555557,5,0.0,186200.11090365946,1544,0,0,1544,0.0,0.0,2,0,3,1,4,7,182981.7087770841,0,0,203176.59119861032,2009.0,0.0,3.0,868.0,3,3,0.0,0,35,0,0,0,0,0.0,0,6,2010,277016.7923728814,274579.0123966942,290941,1,0,1
